active_runtime_upload_manifest_present,blocking_warnings,case_id,companion_sha_match,creative_output_certified_false,delivery_allowed,fail_codes,field_source_trace_ledger_all_models,field_source_trace_ledgers,generate_rc,generate_result,generate_seconds,generate_timeout,level,model_count,post_completion_process_kill,profile360_61_per_model,profile360_counts,project_id,result,runtime_chatgpt,runtime_copilot,runtime_logical_10_plus_n,scope,techext_284_per_model,techext_counts,validate_rc,validate_result,validate_seconds,validate_timeout,validation_fail_codes,validation_source,validators_fail,zip_bytes,zip_sha256,zipfile_testzip
True,0,H238_BASIC_N1,PASS,True,PASS,[],True,1,0,PASS,18.378,False,basic,1,False,True,[61],IDUNEX_PROJECT_H238_BASIC_N1_v1.0.0,PASS,11,11,True,internal,True,[284],0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,1004991,99b96386e4bc22220a17374486079105589e06c3a47f1777a5af4598981917c9,PASS
True,0,H238_BASIC_N10,PASS,True,PASS,[],True,10,0,PASS,103.016,False,basic,10,False,True,"[61, 61, 61, 61, 61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_BASIC_N10_v1.0.0,PASS,20,20,True,internal,True,"[284, 284, 284, 284, 284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,4316543,13d963503339d2600310d4b58058e59910401d9e919fafea354e3366f82fb338,PASS
True,0,H238_BASIC_N2,PASS,True,PASS,[],True,2,0,PASS,26.191,False,basic,2,False,True,"[61, 61]",IDUNEX_PROJECT_H238_BASIC_N2_v1.0.0,PASS,12,12,True,internal,True,"[284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,1334615,1f6536e0f4e7928c94f6e7393c35cf12e4248275672674766e51e5df36d242dc,PASS
True,0,H238_BASIC_N3,PASS,True,PASS,[],True,3,0,PASS,35.717,False,basic,3,False,True,"[61, 61, 61]",IDUNEX_PROJECT_H238_BASIC_N3_v1.0.0,PASS,13,13,True,internal,True,"[284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,1671262,54bb3bdb05bf10ce8062d588f90d858fe6fc2d446689cd91946184662dbfab5b,PASS
True,0,H238_BASIC_N4,PASS,True,PASS,[],True,4,0,PASS,43.625,False,basic,4,False,True,"[61, 61, 61, 61]",IDUNEX_PROJECT_H238_BASIC_N4_v1.0.0,PASS,14,14,True,internal,True,"[284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,2016182,4f2af5066b94e475ba5f0a46a39258ac30d4c2b3f8b1d9b3b5e8b422f1e100c2,PASS
True,0,H238_BASIC_N5,PASS,True,PASS,[],True,5,0,PASS,51.062,False,basic,5,False,True,"[61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_BASIC_N5_v1.0.0,PASS,15,15,True,internal,True,"[284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,2381421,9c67d85c48714d4c71b184ca931b217efd5005828d24538d9c19cc192f17837c,PASS
True,0,H238_BASIC_N6,PASS,True,PASS,[],True,6,0,PASS,59.579,False,basic,6,False,True,"[61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_BASIC_N6_v1.0.0,PASS,16,16,True,internal,True,"[284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,2753005,237cba5d29af6b06ba5d6c54605256c5895ea677163ec470b18180f620cbb009,PASS
True,0,H238_BASIC_N7,PASS,True,PASS,[],True,7,0,PASS,74.072,False,basic,7,False,True,"[61, 61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_BASIC_N7_v1.0.0,PASS,17,17,True,internal,True,"[284, 284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,3129047,c8a3e47444e9d169f93f6bad51946d6a129d691135297137acea47713d751e82,PASS
True,0,H238_BASIC_N8,PASS,True,PASS,[],True,8,0,PASS,82.455,False,basic,8,False,True,"[61, 61, 61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_BASIC_N8_v1.0.0,PASS,18,18,True,internal,True,"[284, 284, 284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,3515209,cdfd73028aa823ee3a865711f17980327013dab8d9f51be6450a1b47159c30db,PASS
True,0,H238_BASIC_N9,PASS,True,PASS,[],True,9,0,PASS,89.026,False,basic,9,False,True,"[61, 61, 61, 61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_BASIC_N9_v1.0.0,PASS,19,19,True,internal,True,"[284, 284, 284, 284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,3910070,d36fd74e17d9c6a40ce774e9e5ca9c7ca1fb719ed49eddbfe22869c0378805b4,PASS
